City,State,Year,Population
Orange,California,2011,138207
Thornton,Colorado,2011,121919
Roseville,California,2011,122596
Denton,Texas,2011,120137
Waco,Texas,2011,126480
Surprise,Arizona,2011,119648
Carrollton,Texas,2011,122463
West Valley City,Utah,2011,131028
Charleston,South Carolina,2011,123202
Warren,Michigan,2011,134147
Hampton,Virginia,2011,136528
Gainesville,Florida,2011,125414
Visalia,California,2011,125657
Coral Springs,Florida,2011,124632
Columbia,South Carolina,2011,131286
Cedar Rapids,Iowa,2011,128064
Sterling Heights,Michigan,2011,130031
New Haven,Connecticut,2011,130839
Stamford,Connecticut,2011,123980
Concord,California,2011,123517
Kent,Washington,2011,120962
Santa Clara,California,2011,117888
Elizabeth,New Jersey,2011,125789
Round Rock,Texas,2011,103836
Thousand Oaks,California,2011,127330
Lafayette,Louisiana,2011,122646
Athens-Clarke County unified government (bal,Georgia,2011,116971
Topeka,Kansas,2011,128216
Simi Valley,California,2011,125034
Fargo,North Dakota,2011,108104
Norman,Oklahoma,2011,113872
Columbia,Missouri,2011,111501
Abilene,Texas,2011,118749
Wilmington,North Carolina,2011,108125
Hartford,Connecticut,2011,125431
Victorville,California,2011,117911
Pearland,Texas,2011,96311
Vallejo,California,2011,116694
Ann Arbor,Michigan,2011,115519
Berkeley,California,2011,113953
Allentown,Pennsylvania,2011,118774
Richardson,Texas,2011,101657
Odessa,Texas,2011,102039
Arvada,Colorado,2011,108036
Cambridge,Massachusetts,2011,105905
Sugar Land,Texas,2011,109858
Beaumont,Texas,2011,117871
Lansing,Michigan,2011,114533
Evansville,Indiana,2011,120207
Rochester,Minnesota,2011,108066
Independence,Missouri,2011,116898
Fairfield,California,2011,106208
Provo,Utah,2011,115181
Clearwater,Florida,2011,109075
College Station,Texas,2011,95659
West Jordan,Utah,2011,106356
Carlsbad,California,2011,107468
El Monte,California,2011,114088
Murrieta,California,2011,105329
Temecula,California,2011,102644
Springfield,Illinois,2011,117780
Palm Bay,Florida,2011,104125
Costa Mesa,California,2011,111162
Westminster,Colorado,2011,107746
North Charleston,South Carolina,2011,99895
Miami Gardens,Florida,2011,109945
Manchester,New Hampshire,2011,110016
High Point,North Carolina,2011,105812
Downey,California,2011,112232
Clovis,California,2011,97423
Pompano Beach,Florida,2011,101762
Pueblo,Colorado,2011,107211
Elgin,Illinois,2011,109160
Lowell,Massachusetts,2011,107767
Antioch,California,2011,104194
West Palm Beach,Florida,2011,101499
Peoria,Illinois,2011,115373
Everett,Washington,2011,103557
San Buenaventura (Ventura),California,2011,108340
Centennial,Colorado,2011,102510
Lakeland,Florida,2011,98868
Gresham,Oregon,2011,107715
Richmond,California,2011,104888
Billings,Montana,2011,105457
Inglewood,California,2011,110542
Broken Arrow,Oklahoma,2011,100225
Sandy Springs,Georgia,2011,96664
Jurupa Valley,California,2011,97188
Hillsboro,Oregon,2011,94285
Waterbury,Connecticut,2011,110086
Santa Maria,California,2011,100299
Boulder,Colorado,2011,101115
Greeley,Colorado,2011,94393
Daly City,California,2011,102485
Meridian,Idaho,2011,79687
Lewisville,Texas,2011,97595
Davie,Florida,2011,94465
West Covina,California,2011,106738
League City,Texas,2011,86271
Tyler,Texas,2011,98048
Norwalk,California,2011,105915
San Mateo,California,2011,98538
Green Bay,Wisconsin,2011,104337
Wichita Falls,Texas,2011,103946
Sparks,Nevada,2011,91566
Burbank,California,2011,103749
Rialto,California,2011,100579
Allen,Texas,2011,87661
El Cajon,California,2011,100730
Las Cruces,New Mexico,2011,100238
Renton,Washington,2011,94180
Davenport,Iowa,2011,100283
South Bend,Indiana,2011,101138
Vista,California,2011,94526
Tuscaloosa,Alabama,2011,91429
San Angelo,Texas,2011,94526
Kenosha,Wisconsin,2011,99599
Vacaville,California,2011,93227
Roanoke,Virginia,2011,96776
Spokane Valley,Washington,2011,90680
Boca Raton,Florida,2011,86456
Beaverton,Oregon,2011,91573
Edinburg,Texas,2011,84834
Lee's Summit,Missouri,2011,91911
Rio Rancho,New Mexico,2011,89477
Yuma,Arizona,2011,94263
Bend,Oregon,2011,77552
Orem,Utah,2011,89600
Lawrence,Kansas,2011,89125
Albany,New York,2011,97940
South Fulton,Georgia,2011,88672
Federal Way,Washington,2011,90720
Sandy,Utah,2011,90877
San Marcos,California,2011,85023
Compton,California,2011,96948
Longmont,Colorado,2011,87668
Erie,Pennsylvania,2011,101506
Nampa,Idaho,2011,82675
Flint,Michigan,2011,101207
Brockton,Massachusetts,2011,94109
Sunrise,Florida,2011,86299
New Bedford,Massachusetts,2011,94886
Hesperia,California,2011,91198
Mission Viejo,California,2011,94038
Chico,California,2011,87269
Lynn,Massachusetts,2011,90716
Roswell,Georgia,2011,90899
Portsmouth,Virginia,2011,95726
Quincy,Massachusetts,2011,92541
South Gate,California,2011,94606
Dearborn,Michigan,2011,97167
Plantation,Florida,2011,86873
Concord,North Carolina,2011,80650
Livonia,Michigan,2011,96134
Yakima,Washington,2011,92616
Carmel,Indiana,2011,81664
Fishers,Indiana,2011,80533
Greenville,North Carolina,2011,86277
Edmond,Oklahoma,2011,82943
Lawton,Oklahoma,2011,98223
Menifee,California,2011,79786
Asheville,North Carolina,2011,84455
Deltona,Florida,2011,84958
Carson,California,2011,91704
Tracy,California,2011,84288
Redding,California,2011,90176
Miami Beach,Florida,2011,89967
Chino,California,2011,79606
Santa Monica,California,2011,90492
Santa Barbara,California,2011,88612
Indio,California,2011,81053
Suffolk,Virginia,2011,84751
Westminster,California,2011,90710
Bellingham,Washington,2011,81896
Livermore,California,2011,82583
San Leandro,California,2011,85916
Fall River,Massachusetts,2011,88812
Kirkland,Washington,2011,82084
Mount Pleasant,South Carolina,2011,69259
Nashua,New Hampshire,2011,86804
Norwalk,Connecticut,2011,86619
Newton,Massachusetts,2011,85845
Reading,Pennsylvania,2011,88212
O'Fallon,Missouri,2011,81088
Champaign,Illinois,2011,82345
Citrus Heights,California,2011,83872
Fort Smith,Arkansas,2011,87206
Conroe,Texas,2011,67214
Palm Coast,Florida,2011,76637
Ogden,Utah,2011,83251
St. George,Utah,2011,73786
Hawthorne,California,2011,84939
Waukegan,Illinois,2011,88954
Fayetteville,Arkansas,2011,75595
Redwood City,California,2011,77979
Whittier,California,2011,85643
Duluth,Minnesota,2011,86231
Avondale,Arizona,2011,77280
Lake Forest,California,2011,78308
Bloomington,Minnesota,2011,83931
Bryan,Texas,2011,77171
Newport Beach,California,2011,86094
Hemet,California,2011,80222
Clifton,New Jersey,2011,84692
Hoover,Alabama,2011,81291
Largo,Florida,2011,79387
Bloomington,Indiana,2011,81505
Mission,Texas,2011,79796
Danbury,Connecticut,2011,82096
Alhambra,California,2011,83607
Santa Fe,New Mexico,2011,81836
New Braunfels,Texas,2011,59311
Johns Creek,Georgia,2011,79216
Troy,Michigan,2011,81643
Trenton,New Jersey,2011,84853
Chino Hills,California,2011,75650
Mountain View,California,2011,75102
Merced,California,2011,79720
Kennewick,Washington,2011,75586
Goodyear,Arizona,2011,66587
Melbourne,Florida,2011,76560
Buena Park,California,2011,81562
Sioux City,Iowa,2011,83086
Pleasanton,California,2011,71142
Medford,Oregon,2011,75563
Fort Myers,Florida,2011,63826
Lynchburg,Virginia,2011,76582
Auburn,Washington,2011,71645
Westland,Michigan,2011,83515
Longview,Texas,2011,81041
Cicero,Illinois,2011,84439
Manteca,California,2011,69188
Somerville,Massachusetts,2011,76653
Cranston,Rhode Island,2011,80807
Farmington Hills,Michigan,2011,80336
Springdale,Arkansas,2011,72459
Franklin,Tennessee,2011,64321
Deerfield Beach,Florida,2011,76513
Warwick,Rhode Island,2011,82024
Brooklyn Park,Minnesota,2011,76877
Milpitas,California,2011,67126
Lawrence,Massachusetts,2011,77263
Lakewood,California,2011,80400
Tustin,California,2011,76233
Pharr,Texas,2011,72215
Plymouth,Minnesota,2011,71696
Napa,California,2011,77698
Perris,California,2011,70434
Folsom,California,2011,72594
Parma,Ohio,2011,80954
New Rochelle,New York,2011,77686
Alameda,California,2011,74694
Boynton Beach,Florida,2011,68822
Lake Charles,Louisiana,2011,72716
Bloomington,Illinois,2011,77275
Loveland,Colorado,2011,69182
Racine,Wisconsin,2011,78454
Flower Mound,Texas,2011,65957
Layton,Utah,2011,68452
Scranton,Pennsylvania,2011,75927
Bellflower,California,2011,76933
Gastonia,North Carolina,2011,71874
Baytown,Texas,2011,72540
Upland,California,2011,74473
Cedar Park,Texas,2011,58849
Jonesboro,Arkansas,2011,68984
Kalamazoo,Michigan,2011,74686
Iowa City,Iowa,2011,69177
Temple,Texas,2011,67111
St. Joseph,Missouri,2011,77193
San Ramon,California,2011,72186
Wyoming,Michigan,2011,72722
Baldwin Park,California,2011,75762
Warner Robins,Georgia,2011,70986
Hammond,Indiana,2011,80186
Bethlehem,Pennsylvania,2011,75033
Rapid City,South Dakota,2011,69035
Gary,Indiana,2011,79699
Albany,Georgia,2011,77874
Arlington Heights vi,Illinois,2011,75534
Bolingbrook vi,Illinois,2011,73788
Pasco,Washington,2011,65546
Missouri City,Texas,2011,67424
Rochester Hills,Michigan,2011,71687
Rancho Cordova,California,2011,65971
Union City,California,2011,70604
Appleton,Wisconsin,2011,72911
Missoula,Montana,2011,67538
Buckeye,Arizona,2011,52490
Rock Hill,South Carolina,2011,67251
Georgetown,Texas,2011,50298
South Jordan,Utah,2011,53316
Evanston,Illinois,2011,75145
Camden,New Jersey,2011,77218
Flagstaff,Arizona,2011,66082
Kissimmee,Florida,2011,61358
Schaumburg vi,Illinois,2011,74550
Apple Valley,California,2011,70030
Turlock,California,2011,69164
Southfield,Michigan,2011,72244
Framingham,Massachusetts,2011,69651
Bismarck,North Dakota,2011,62722
Jacksonville,North Carolina,2011,75017
Waukesha,Wisconsin,2011,71219
New Britain,Connecticut,2011,73267
Pittsburg,California,2011,64547
Lafayette,Indiana,2011,69908
Frederick,Maryland,2011,65951
Lauderhill,Florida,2011,68246
Gulfport,Mississippi,2011,68851
Pawtucket,Rhode Island,2011,71385
Maple Grove,Minnesota,2011,63192
Redlands,California,2011,69323
Woodbury,Minnesota,2011,63553
Decatur,Illinois,2011,75918
Weston,Florida,2011,66839
Mansfield,Texas,2011,58115
North Richland Hills,Texas,2011,64253
St. Charles,Missouri,2011,66545
Wilmington,Delaware,2011,70821
Lynwood,California,2011,69669
Homestead,Florida,2011,62842
Canton,Ohio,2011,72817
Passaic,New Jersey,2011,70145
Walnut Creek,California,2011,64836
Marysville,Washington,2011,61236
Delray Beach,Florida,2011,61506
Davis,California,2011,65656
Broomfield,Colorado,2011,57482
Camarillo,California,2011,65521
Daytona Beach,Florida,2011,61697
Eau Claire,Wisconsin,2011,66837
North Port,Florida,2011,57745
Greenville,South Carolina,2011,59665
Muncie,Indiana,2011,70399
Union City,New Jersey,2011,67419
Bowling Green,Kentucky,2011,59964
Gaithersburg,Maryland,2011,61442
Rockville,Maryland,2011,62066
Dothan,Alabama,2011,66472
Bossier City,Louisiana,2011,63517
Lake Elsinore,California,2011,55081
Palatine vi,Illinois,2011,68889
St. Cloud,Minnesota,2011,65888
Waterloo,Iowa,2011,68454
Yorba Linda,California,2011,65620
South San Francisco,California,2011,64492
Redmond,Washington,2011,55704
Rogers,Arkansas,2011,58134
Mount Vernon,New York,2011,67738
Redondo Beach,California,2011,67194
Rocklin,California,2011,58425
Ames,Iowa,2011,60432
Victoria,Texas,2011,63115
Lodi,California,2011,62754
Yuba City,California,2011,65358
Jackson,Tennessee,2011,66702
Johnson City,Tennessee,2011,63917
Oshkosh,Wisconsin,2011,66216
Palo Alto,California,2011,65358
Kenner,Louisiana,2011,66864
West Des Moines,Iowa,2011,57561
Eagan,Minnesota,2011,64484
Conway,Arkansas,2011,61543
Portland,Maine,2011,66177
Rowlett,Texas,2011,57009
Laguna Niguel,California,2011,63777
Alpharetta,Georgia,2011,59138
North Little Rock,Arkansas,2011,63488
Tamarac,Florida,2011,61474
Lehi,Utah,2011,49680
Lakeville,Minnesota,2011,56705
Shawnee,Kansas,2011,63008
Auburn,Alabama,2011,54968
Sammamish,Washington,2011,58757
Madera,California,2011,61818
Schenectady,New York,2011,66097
Jupiter,Florida,2011,56211
Harlingen,Texas,2011,65637
Ankeny,Iowa,2011,47048
Blaine,Minnesota,2011,58188
Wellington vi,Florida,2011,57505
Bayonne,New Jersey,2011,63946
Youngstown,Ohio,2011,66552
San Clemente,California,2011,64240
Castle Rock,Colorado,2011,49689
Eastvale,California,2011,55045
Santa Cruz,California,2011,61433
Janesville,Wisconsin,2011,63414
Tulare,California,2011,59802
East Orange,New Jersey,2011,64331
Pflugerville,Texas,2011,50281
Eden Prairie,Minnesota,2011,61662
Port Orange,Florida,2011,56717
Haverhill,Massachusetts,2011,61503
Lorain,Ohio,2011,63929
Cheyenne,Wyoming,2011,60159
Brentwood,California,2011,52717
San Marcos,Texas,2011,47669
Dublin,California,2011,46804
Grand Junction,Colorado,2011,59611
Skokie vi,Illinois,2011,65090
Noblesville,Indiana,2011,54091
North Miami,Florida,2011,60014
Springfield,Oregon,2011,59840
Waltham,Massachusetts,2011,61359
Encinitas,California,2011,60257
Pico Rivera,California,2011,63225
Montebello,California,2011,62915
Coon Rapids,Minnesota,2011,61556
Council Bluffs,Iowa,2011,62501
La Habra,California,2011,60922
Hamilton,Ohio,2011,62306
Moore,Oklahoma,2011,56706
Petaluma,California,2011,58200
Doral,Florida,2011,47494
Idaho Falls,Idaho,2011,57808
National City,California,2011,59045
Coconut Creek,Florida,2011,54318
Millcreek,Utah,2011,59387
Burnsville,Minnesota,2011,60645
Taylor,Michigan,2011,62626
Malden,Massachusetts,2011,60004
Chapel Hill,North Carolina,2011,57356
Novi,Michigan,2011,56050
Marietta,Georgia,2011,57471
Terre Haute,Indiana,2011,60973
Lakewood,Washington,2011,57938
Woodland,California,2011,55787
Ocala,Florida,2011,56705
Monterey Park,California,2011,60471
Taylorsville,Utah,2011,59759
Cupertino,California,2011,59189
Utica,New York,2011,62030
Sanford,Florida,2011,54351
Bristol,Connecticut,2011,60569
Porterville,California,2011,58626
Vineland,New Jersey,2011,60984
Owensboro,Kentucky,2011,57733
Pontiac,Michigan,2011,59844
Gardena,California,2011,59124
La Mesa,California,2011,57644
Meriden,Connecticut,2011,60714
West Allis,Wisconsin,2011,60496
Royal Oak,Michigan,2011,57692
Lancaster,Pennsylvania,2011,59482
St. Clair Shores,Michigan,2011,59794
Bartlett,Tennessee,2011,57360
Springfield,Ohio,2011,60260
Des Plaines,Illinois,2011,58732
Greenwood,Indiana,2011,52091
Gilroy,California,2011,49709
San Rafael,California,2011,58229
Great Falls,Montana,2011,59376
Bowie,Maryland,2011,56041
Margate,Florida,2011,54189
Corvallis,Oregon,2011,54727
Arcadia,California,2011,56627
Commerce City,Colorado,2011,47557
Orland Park vi,Illinois,2011,57002
Huntington Park,California,2011,58331
Santee,California,2011,54525
White Plains,New York,2011,57178
Dubuque,Iowa,2011,57907
Kokomo,Indiana,2011,58076
Medford,Massachusetts,2011,56840
Sarasota,Florida,2011,52520
Weymouth Town,Massachusetts,2011,54176
Bradenton,Florida,2011,49637
Hendersonville,Tennessee,2011,52273
Casper,Wyoming,2011,56079
Bonita Springs,Florida,2011,45033
Euless,Texas,2011,52057
Midwest City,Oklahoma,2011,55399
Richland,Washington,2011,50227
Taunton,Massachusetts,2011,55921
Casa Grande,Arizona,2011,48904
St. Peters,Missouri,2011,53388
Huntersville,North Carolina,2011,48035
Grand Forks,North Dakota,2011,52758
Hanford,California,2011,54551
Shoreline,Washington,2011,53793
Smyrna,Georgia,2011,51783
Caldwell,Idaho,2011,47246
Valdosta,Georgia,2011,55784
Palm Beach Gardens,Florida,2011,49760
Diamond Bar,California,2011,55846
Pocatello,Idaho,2011,54690
Tinley Park vi,Illinois,2011,57100
Leander,Texas,2011,29115
New Brunswick,New Jersey,2011,55294
Fountain Valley,California,2011,55956
Novato,California,2011,52682
Parker,Colorado,2011,46093
Dearborn Heights,Michigan,2011,57273
Chicopee,Massachusetts,2011,55583
Oak Lawn vi,Illinois,2011,56925
Carson,Nevada,2011,54679
Highland,California,2011,53668
Lenexa,Kansas,2011,48858
Hempstead vi,New York,2011,54186
Blue Springs,Missouri,2011,52777
Kettering,Ohio,2011,56007
Lake Havasu City,Arizona,2011,52787
Anderson,Indiana,2011,55883
Port Arthur,Texas,2011,54906
Manhattan,Kansas,2011,54145
Southaven,Mississippi,2011,49746
Berwyn,Illinois,2011,56794
Cathedral City,California,2011,52100
West Haven,Connecticut,2011,55505
Tigard,Oregon,2011,49240
Normal,Illinois,2011,53108
Colton,California,2011,52716
Stonecrest,Georgia,2011,50709
Albany,Oregon,2011,50943
Rosemead,California,2011,54030
Paramount,California,2011,54334
Decatur,Alabama,2011,55887
Rocky Mount,North Carolina,2011,57415
Mount Prospect vi,Illinois,2011,55265
Brookhaven,Georgia,2011,50113
Apple Valley,Minnesota,2011,49488
St. Cloud,Florida,2011,39499
Kingsport,Tennessee,2011,52927
Harrisonburg,Virginia,2011,49932
Grapevine,Texas,2011,47106
Minnetonka,Minnesota,2011,50644
Watsonville,California,2011,51584
Leesburg,Virginia,2011,44510
Elyria,Ohio,2011,54321
Apex,North Carolina,2011,38884
Revere,Massachusetts,2011,52653
Burlington,North Carolina,2011,50952
West Sacramento,California,2011,49111
Yucaipa,California,2011,51960
Bellevue,Nebraska,2011,51864
DeSoto,Texas,2011,50208
Apopka,Florida,2011,43711
Hoboken,New Jersey,2011,50764
Peabody,Massachusetts,2011,51633
Palm Desert,California,2011,49248
Wheaton,Illinois,2011,53385
Milford city (bal,Connecticut,2011,51383
Pinellas Park,Florida,2011,49737
Delano,California,2011,53619
West New York,New Jersey,2011,50501
Pensacola,Florida,2011,51841
Olympia,Washington,2011,47687
Edina,Minnesota,2011,48682
Elkhart,Indiana,2011,51929
Oak Park vi,Illinois,2011,52016
Glendora,California,2011,50618
Perth Amboy,New Jersey,2011,51137
Burien,Washington,2011,48813
Kentwood,Michigan,2011,49185
Aliso Viejo,California,2011,48908
Summerville,South Carolina,2011,43880
Placentia,California,2011,51510
Logan,Utah,2011,49053
Wylie,Texas,2011,43647
La Crosse,Wisconsin,2011,51228
Grand Island,Nebraska,2011,49394
Coeur d'Alene,Idaho,2011,44998
Florissant,Missouri,2011,52464
Battle Creek,Michigan,2011,51985
Hoffman Estates vi,Illinois,2011,52150
Bentonville,Arkansas,2011,37190
Coral Gables,Florida,2011,48048
Smyrna,Tennessee,2011,41383
Lacey,Washington,2011,43470
Methuen Town,Massachusetts,2011,47789
Plainfield,New Jersey,2011,49914
Joplin,Missouri,2011,48339
Collierville,Tennessee,2011,45944
Cerritos,California,2011,49239
Galveston,Texas,2011,47558
Madison,Alabama,2011,44249
Stillwater,Oklahoma,2011,46228
Little Elm,Texas,2011,27789
Lakewood,Ohio,2011,51657
Newark,Ohio,2011,47718
Maricopa,Arizona,2011,43869
Enid,Oklahoma,2011,49518
Troy,New York,2011,50012
Saginaw,Michigan,2011,51021
Niagara Falls,New York,2011,49893
Charleston,West Virginia,2011,50988
New York,New York,2012,8348032
Los Angeles,California,2012,3852532
Chicago,Illinois,2012,2719735
Houston,Texas,2012,2160086
Phoenix,Arizona,2012,1499839
Philadelphia,Pennsylvania,2012,1551797
San Antonio,Texas,2012,1383608
San Diego,California,2012,1337149
Dallas,Texas,2012,1242344
San Jose,California,2012,983322
Austin,Texas,2012,854841
Jacksonville,Florida,2012,836997
Fort Worth,Texas,2012,781059
Columbus,Ohio,2012,812711
San Francisco,California,2012,829027
Charlotte,North Carolina,2012,773336
Indianapolis city (bal,Indiana,2012,835379
Seattle,Washington,2012,636495
Denver,Colorado,2012,635277
Washington,District of Columbia,2012,634725
Boston,Massachusetts,2012,643003
El Paso,Texas,2012,675205
Detroit,Michigan,2012,700159
Nashville-Davidson metropolitan government (bal,Tennessee,2012,625601
Portland,Oregon,2012,604285
Memphis,Tennessee,2012,659089
Oklahoma City,Oklahoma,2012,601030
Las Vegas,Nevada,2012,593411
Louisville/Jefferson County metro government (bal,Kentucky,2012,604110
Baltimore,Maryland,2012,622973
Milwaukee,Wisconsin,2012,598581
Albuquerque,New Mexico,2012,555106
Tucson,Arizona,2012,531817
Fresno,California,2012,505521
Mesa,Arizona,2012,457061
Sacramento,California,2012,474309
Atlanta,Georgia,2012,448799
Kansas City,Missouri,2012,464607
Colorado Springs,Colorado,2012,432611
Miami,Florida,2012,415270
Raleigh,North Carolina,2012,423095
Omaha,Nebraska,2012,456338
Long Beach,California,2012,467064
Virginia Beach,Virginia,2012,445038
Oakland,California,2012,401228
Minneapolis,Minnesota,2012,392775
Tulsa,Oklahoma,2012,394875
Arlington,Texas,2012,375906
Tampa,Florida,2012,348655
New Orleans,Louisiana,2012,369761
Wichita,Kansas,2012,385753
Cleveland,Ohio,2012,391500
Bakersfield,California,2012,357858
Aurora,Colorado,2012,339080
Anaheim,California,2012,342526
Urban Honolul,Hawaii,2012,346868
Santa Ana,California,2012,330650
Riverside,California,2012,312432
Corpus Christi,Texas,2012,312415
Lexington-Fayette urban c,Kentucky,2012,306075
Stockton,California,2012,296666
Henderson,Nevada,2012,263409
St. Paul,Minnesota,2012,291244
St. Louis,Missouri,2012,319387
Cincinnati,Ohio,2012,296758
Pittsburgh,Pennsylvania,2012,306470
Greensboro,North Carolina,2012,276024
Anchorage municip,Alaska,2012,298233
Plano,Texas,2012,272240
Lincoln,Nebraska,2012,265663
Orlando,Florida,2012,249930
Irvine,California,2012,229083
